Area,Country,Year,Series,Capital_city,Value
296,Kiribati,2010,Rural population (percent growth rate per annum),,0.7
296,Kiribati,2015,Urban population (percent),,51.6
296,Kiribati,2015,Urban population (percent growth rate per annum),,3.5
296,Kiribati,2015,Rural population (percent growth rate per annum),,0.1
296,Kiribati,2015,Capital city population (thousands),Bairiki,3.0
296,Kiribati,2018,Urban population (percent),,54.1
414,Kuwait,2005,Urban population (percent),,100.0
414,Kuwait,2005,Urban population (percent growth rate per annum),,2.3
414,Kuwait,2005,Rural population (percent growth rate per annum),,0.0
414,Kuwait,2005,Capital city population (thousands),Kuwait City,1548.0
414,Kuwait,2005,Capital city population (as a percentage of total population),Kuwait City,68.0
414,Kuwait,2005,Capital city population (as a percentage of total urban population),Kuwait City,68.0
414,Kuwait,2010,Urban population (percent),,100.0
414,Kuwait,2010,Urban population (percent growth rate per annum),,5.5
414,Kuwait,2010,Rural population (percent growth rate per annum),,0.0
414,Kuwait,2010,Capital city population (thousands),Kuwait City,1994.0
414,Kuwait,2010,Capital city population (as a percentage of total population),Kuwait City,66.5
414,Kuwait,2010,Capital city population (as a percentage of total urban population),Kuwait City,66.5
414,Kuwait,2015,Urban population (percent),,100.0
414,Kuwait,2015,Urban population (percent growth rate per annum),,5.4
414,Kuwait,2015,Rural population (percent growth rate per annum),,0.0
414,Kuwait,2015,Capital city population (thousands),Kuwait City,2568.0
414,Kuwait,2015,Capital city population (as a percentage of total population),Kuwait City,65.3
414,Kuwait,2015,Capital city population (as a percentage of total urban population),Kuwait City,65.3
414,Kuwait,2018,Urban population (percent),,100.0
414,Kuwait,2018,Capital city population (thousands),Kuwait City,2989.0
417,Kyrgyzstan,2005,Urban population (percent),,35.3
417,Kyrgyzstan,2005,Urban population (percent growth rate per annum),,0.6
417,Kyrgyzstan,2005,Rural population (percent growth rate per annum),,0.6
417,Kyrgyzstan,2005,Capital city population (thousands),Bishkek,798.0
417,Kyrgyzstan,2005,Capital city population (as a percentage of total population),Bishkek,15.7
417,Kyrgyzstan,2005,Capital city population (as a percentage of total urban population),Bishkek,44.5
417,Kyrgyzstan,2010,Urban population (percent),,35.3
417,Kyrgyzstan,2010,Urban population (percent growth rate per annum),,1.3
417,Kyrgyzstan,2010,Rural population (percent growth rate per annum),,1.3
417,Kyrgyzstan,2010,Capital city population (thousands),Bishkek,844.0
417,Kyrgyzstan,2010,Capital city population (as a percentage of total population),Bishkek,15.6
417,Kyrgyzstan,2010,Capital city population (as a percentage of total urban population),Bishkek,44.1
417,Kyrgyzstan,2015,Urban population (percent),,35.8
417,Kyrgyzstan,2015,Urban population (percent growth rate per annum),,1.8
417,Kyrgyzstan,2015,Rural population (percent growth rate per annum),,1.4
417,Kyrgyzstan,2015,Capital city population (thousands),Bishkek,936.0
417,Kyrgyzstan,2015,Capital city population (as a percentage of total population),Bishkek,16.0
417,Kyrgyzstan,2015,Capital city population (as a percentage of total urban population),Bishkek,44.6
417,Kyrgyzstan,2018,Urban population (percent),,36.4
417,Kyrgyzstan,2018,Capital city population (thousands),Bishkek,996.0
418,Lao People's Dem. Rep.,2005,Urban population (percent),,27.2
418,Lao People's Dem. Rep.,2005,Urban population (percent growth rate per annum),,5.8
418,Lao People's Dem. Rep.,2005,Rural population (percent growth rate per annum),,0.2
418,Lao People's Dem. Rep.,2005,Capital city population (thousands),Vientiane,572.0
418,Lao People's Dem. Rep.,2005,Capital city population (as a percentage of total population),Vientiane,9.9
418,Lao People's Dem. Rep.,2005,Capital city population (as a percentage of total urban population),Vientiane,36.6
418,Lao People's Dem. Rep.,2010,Urban population (percent),,30.1
418,Lao People's Dem. Rep.,2010,Urban population (percent growth rate per annum),,3.7
418,Lao People's Dem. Rep.,2010,Rural population (percent growth rate per annum),,0.8
418,Lao People's Dem. Rep.,2010,Capital city population (thousands),Vientiane,606.0
418,Lao People's Dem. Rep.,2010,Capital city population (as a percentage of total population),Vientiane,9.7
418,Lao People's Dem. Rep.,2010,Capital city population (as a percentage of total urban population),Vientiane,32.3
418,Lao People's Dem. Rep.,2015,Urban population (percent),,33.1
418,Lao People's Dem. Rep.,2015,Urban population (percent growth rate per annum),,3.2
418,Lao People's Dem. Rep.,2015,Rural population (percent growth rate per annum),,0.4
418,Lao People's Dem. Rep.,2015,Capital city population (thousands),Vientiane,642.0
418,Lao People's Dem. Rep.,2015,Capital city population (as a percentage of total population),Vientiane,9.6
418,Lao People's Dem. Rep.,2015,Capital city population (as a percentage of total urban population),Vientiane,29.1
418,Lao People's Dem. Rep.,2018,Urban population (percent),,35.0
418,Lao People's Dem. Rep.,2018,Capital city population (thousands),Vientiane,665.0
428,Latvia,2005,Urban population (percent),,68.0
428,Latvia,2005,Urban population (percent growth rate per annum),,-1.2
428,Latvia,2005,Rural population (percent growth rate per annum),,-1.1
428,Latvia,2005,Capital city population (thousands),Riga,712.0
428,Latvia,2005,Capital city population (as a percentage of total population),Riga,31.6
428,Latvia,2005,Capital city population (as a percentage of total urban population),Riga,46.5
428,Latvia,2010,Urban population (percent),,67.8
428,Latvia,2010,Urban population (percent growth rate per annum),,-1.3
428,Latvia,2010,Rural population (percent growth rate per annum),,-1.1
428,Latvia,2010,Capital city population (thousands),Riga,665.0
428,Latvia,2010,Capital city population (as a percentage of total population),Riga,31.4
428,Latvia,2010,Capital city population (as a percentage of total urban population),Riga,46.2
428,Latvia,2015,Urban population (percent),,68.0
428,Latvia,2015,Urban population (percent growth rate per annum),,-1.2
428,Latvia,2015,Rural population (percent growth rate per annum),,-1.3
428,Latvia,2015,Capital city population (thousands),Riga,646.0
428,Latvia,2015,Capital city population (as a percentage of total population),Riga,32.4
428,Latvia,2015,Capital city population (as a percentage of total urban population),Riga,47.7
428,Latvia,2018,Urban population (percent),,68.1
428,Latvia,2018,Capital city population (thousands),Riga,637.0
422,Lebanon,2005,Urban population (percent),,86.6
422,Lebanon,2005,Urban population (percent growth rate per annum),,4.3
422,Lebanon,2005,Rural population (percent growth rate per annum),,3.3
422,Lebanon,2005,Capital city population (thousands),Beirut,1777.0
422,Lebanon,2005,Capital city population (as a percentage of total population),Beirut,44.6
422,Lebanon,2005,Capital city population (as a percentage of total urban population),Beirut,51.5
422,Lebanon,2010,Urban population (percent),,87.3
422,Lebanon,2010,Urban population (percent growth rate per annum),,1.8
422,Lebanon,2010,Rural population (percent growth rate per annum),,0.6
422,Lebanon,2010,Capital city population (thousands),Beirut,1990.0
422,Lebanon,2010,Capital city population (as a percentage of total population),Beirut,45.9
422,Lebanon,2010,Capital city population (as a percentage of total urban population),Beirut,52.5
422,Lebanon,2015,Urban population (percent),,88.1
422,Lebanon,2015,Urban population (percent growth rate per annum),,6.2
422,Lebanon,2015,Rural population (percent growth rate per annum),,4.7
422,Lebanon,2015,Capital city population (thousands),Beirut,2229.0
422,Lebanon,2015,Capital city population (as a percentage of total population),Beirut,38.1
422,Lebanon,2015,Capital city population (as a percentage of total urban population),Beirut,43.2
422,Lebanon,2018,Urban population (percent),,88.6
422,Lebanon,2018,Capital city population (thousands),Beirut,2385.0
426,Lesotho,2005,Urban population (percent),,22.2
426,Lesotho,2005,Urban population (percent growth rate per annum),,3.4
426,Lesotho,2005,Rural population (percent growth rate per annum),,0.2
426,Lesotho,2010,Urban population (percent),,24.8
426,Lesotho,2010,Urban population (percent growth rate per annum),,3.1
426,Lesotho,2010,Rural population (percent growth rate per annum),,0.2
426,Lesotho,2015,Urban population (percent),,26.9
426,Lesotho,2015,Urban population (percent growth rate per annum),,2.9
426,Lesotho,2015,Rural population (percent growth rate per annum),,0.7
426,Lesotho,2018,Urban population (percent),,28.2
426,Lesotho,2018,Capital city population (thousands),Maseru,202.0
430,Liberia,2005,Urban population (percent),,46.1
430,Liberia,2005,Urban population (percent growth rate per annum),,3.2
430,Liberia,2005,Rural population (percent growth rate per annum),,1.8
430,Liberia,2005,Capital city population (thousands),Monrovia,1202.0
430,Liberia,2005,Capital city population (as a percentage of total population),Monrovia,36.9
430,Liberia,2005,Capital city population (as a percentage of total urban population),Monrovia,80.0
430,Liberia,2010,Urban population (percent),,47.8
430,Liberia,2010,Urban population (percent growth rate per annum),,4.6
430,Liberia,2010,Rural population (percent growth rate per annum),,3.2
430,Liberia,2010,Capital city population (thousands),Monrovia,1056.0
430,Liberia,2010,Capital city population (as a percentage of total population),Monrovia,26.7
430,Liberia,2010,Capital city population (as a percentage of total urban population),Monrovia,55.9
430,Liberia,2015,Urban population (percent),,49.8
430,Liberia,2015,Urban population (percent growth rate per annum),,3.4
430,Liberia,2015,Rural population (percent growth rate per annum),,1.8
430,Liberia,2015,Capital city population (thousands),Monrovia,1270.0
430,Liberia,2015,Capital city population (as a percentage of total population),Monrovia,28.2
430,Liberia,2015,Capital city population (as a percentage of total urban population),Monrovia,56.6
430,Liberia,2018,Urban population (percent),,51.2
430,Liberia,2018,Capital city population (thousands),Monrovia,1418.0
434,Libya,2005,Urban population (percent),,77.1
434,Libya,2005,Urban population (percent growth rate per annum),,1.7
434,Libya,2005,Rural population (percent growth rate per annum),,1.0
434,Libya,2005,Capital city population (thousands),Tripoli,1058.0
434,Libya,2005,Capital city population (as a percentage of total population),Tripoli,18.3
434,Libya,2005,Capital city population (as a percentage of total urban population),Tripoli,23.7
434,Libya,2010,Urban population (percent),,78.1
434,Libya,2010,Urban population (percent growth rate per annum),,1.5
434,Libya,2010,Rural population (percent growth rate per annum),,0.4
434,Libya,2010,Capital city population (thousands),Tripoli,1095.0
434,Libya,2010,Capital city population (as a percentage of total population),Tripoli,17.8
434,Libya,2010,Capital city population (as a percentage of total urban population),Tripoli,22.7
434,Libya,2015,Urban population (percent),,79.3
434,Libya,2015,Urban population (percent growth rate per annum),,0.5
434,Libya,2015,Rural population (percent growth rate per annum),,-0.9
434,Libya,2015,Capital city population (thousands),Tripoli,1134.0
434,Libya,2015,Capital city population (as a percentage of total population),Tripoli,18.2
434,Libya,2015,Capital city population (as a percentage of total urban population),Tripoli,22.9
434,Libya,2018,Urban population (percent),,80.1
434,Libya,2018,Capital city population (thousands),Tripoli,1158.0
438,Liechtenstein,2005,Urban population (percent),,14.7
438,Liechtenstein,2005,Urban population (percent growth rate per annum),,0.4
438,Liechtenstein,2005,Rural population (percent growth rate per annum),,1.0
438,Liechtenstein,2010,Urban population (percent),,14.5
438,Liechtenstein,2010,Urban population (percent growth rate per annum),,0.3
438,Liechtenstein,2010,Rural population (percent growth rate per annum),,0.7
438,Liechtenstein,2015,Urban population (percent),,14.3
438,Liechtenstein,2015,Urban population (percent growth rate per annum),,0.5
438,Liechtenstein,2015,Rural population (percent growth rate per annum),,0.8
438,Liechtenstein,2018,Urban population (percent),,14.3
438,Liechtenstein,2018,Capital city population (thousands),Vaduz,5.0
440,Lithuania,2005,Urban population (percent),,66.6
440,Lithuania,2005,Urban population (percent growth rate per annum),,-1.0
440,Lithuania,2005,Rural population (percent growth rate per annum),,-0.7
440,Lithuania,2005,Capital city population (thousands),Vilnius,535.0
440,Lithuania,2005,Capital city population (as a percentage of total population),Vilnius,16.0
440,Lithuania,2005,Capital city population (as a percentage of total urban population),Vilnius,24.0
440,Lithuania,2010,Urban population (percent),,66.8
440,Lithuania,2010,Urban population (percent growth rate per annum),,-1.3
440,Lithuania,2010,Rural population (percent growth rate per annum),,-1.4
440,Lithuania,2010,Capital city population (thousands),Vilnius,526.0
440,Lithuania,2010,Capital city population (as a percentage of total population),Vilnius,16.8
440,Lithuania,2010,Capital city population (as a percentage of total urban population),Vilnius,25.2
440,Lithuania,2015,Urban population (percent),,67.2
440,Lithuania,2015,Urban population (percent growth rate per annum),,-1.1
440,Lithuania,2015,Rural population (percent growth rate per annum),,-1.6
440,Lithuania,2015,Capital city population (thousands),Vilnius,531.0
440,Lithuania,2015,Capital city population (as a percentage of total population),Vilnius,18.1
440,Lithuania,2015,Capital city population (as a percentage of total urban population),Vilnius,27.0
440,Lithuania,2018,Urban population (percent),,67.7
440,Lithuania,2018,Capital city population (thousands),Vilnius,536.0
442,Luxembourg,2005,Urban population (percent),,86.6
442,Luxembourg,2005,Urban population (percent growth rate per annum),,1.5
442,Luxembourg,2005,Rural population (percent growth rate per annum),,-2.3
442,Luxembourg,2010,Urban population (percent),,88.5
442,Luxembourg,2010,Urban population (percent growth rate per annum),,2.5
442,Luxembourg,2010,Rural population (percent growth rate per annum),,-1.1
442,Luxembourg,2015,Urban population (percent),,90.2
442,Luxembourg,2015,Urban population (percent growth rate per annum),,2.6
442,Luxembourg,2015,Rural population (percent growth rate per annum),,-0.9
442,Luxembourg,2018,Urban population (percent),,91.0
442,Luxembourg,2018,Capital city population (thousands),Luxembourg,120.0
450,Madagascar,2005,Urban population (percent),,28.8
450,Madagascar,2005,Urban population (percent growth rate per annum),,4.2
450,Madagascar,2005,Rural population (percent growth rate per annum),,2.6
450,Madagascar,2005,Capital city population (thousands),Antananarivo,1561.0
450,Madagascar,2005,Capital city population (as a percentage of total population),Antananarivo,8.5
450,Madagascar,2005,Capital city population (as a percentage of total urban population),Antananarivo,29.5
450,Madagascar,2010,Urban population (percent),,31.9
450,Madagascar,2010,Urban population (percent growth rate per annum),,4.9
450,Madagascar,2010,Rural population (percent growth rate per annum),,2.0
450,Madagascar,2010,Capital city population (thousands),Antananarivo,2021.0
450,Madagascar,2010,Capital city population (as a percentage of total population),Antananarivo,9.6
450,Madagascar,2010,Capital city population (as a percentage of total urban population),Antananarivo,29.9
450,Madagascar,2015,Urban population (percent),,35.2
450,Madagascar,2015,Urban population (percent growth rate per annum),,4.7
450,Madagascar,2015,Rural population (percent growth rate per annum),,1.7
450,Madagascar,2015,Capital city population (thousands),Antananarivo,2618.0
450,Madagascar,2015,Capital city population (as a percentage of total population),Antananarivo,10.8
450,Madagascar,2015,Capital city population (as a percentage of total urban population),Antananarivo,30.7
450,Madagascar,2018,Urban population (percent),,37.2
450,Madagascar,2018,Capital city population (thousands),Antananarivo,3058.0
454,Malawi,2005,Urban population (percent),,15.1
454,Malawi,2005,Urban population (percent growth rate per annum),,3.3
454,Malawi,2005,Rural population (percent growth rate per annum),,2.6
454,Malawi,2005,Capital city population (thousands),Lilongwe,590.0
454,Malawi,2005,Capital city population (as a percentage of total population),Lilongwe,4.5
454,Malawi,2005,Capital city population (as a percentage of total urban population),Lilongwe,30.1
454,Malawi,2010,Urban population (percent),,15.5
454,Malawi,2010,Urban population (percent growth rate per annum),,3.7
454,Malawi,2010,Rural population (percent growth rate per annum),,2.9
454,Malawi,2010,Capital city population (thousands),Lilongwe,731.0
454,Malawi,2010,Capital city population (as a percentage of total population),Lilongwe,4.8
454,Malawi,2010,Capital city population (as a percentage of total urban population),Lilongwe,31.0
454,Malawi,2015,Urban population (percent),,16.3
454,Malawi,2015,Urban population (percent growth rate per annum),,3.9
454,Malawi,2015,Rural population (percent growth rate per annum),,2.8
454,Malawi,2015,Capital city population (thousands),Lilongwe,905.0
454,Malawi,2015,Capital city population (as a percentage of total population),Lilongwe,5.2
454,Malawi,2015,Capital city population (as a percentage of total urban population),Lilongwe,31.6
454,Malawi,2018,Urban population (percent),,16.9
454,Malawi,2018,Capital city population (thousands),Lilongwe,1030.0
458,Malaysia,2005,Urban population (percent),,66.6
458,Malaysia,2005,Urban population (percent growth rate per annum),,3.5
458,Malaysia,2005,Rural population (percent growth rate per annum),,-0.6
458,Malaysia,2005,Capital city population (thousands),Kuala Lumpur,4927.0
458,Malaysia,2005,Capital city population (as a percentage of total population),Kuala Lumpur,19.2
458,Malaysia,2005,Capital city population (as a percentage of total urban population),Kuala Lumpur,28.8
458,Malaysia,2010,Urban population (percent),,70.9
458,Malaysia,2010,Urban population (percent growth rate per annum),,3.1
458,Malaysia,2010,Rural population (percent growth rate per annum),,-0.9
458,Malaysia,2010,Capital city population (thousands),Kuala Lumpur,5810.0
458,Malaysia,2010,Capital city population (as a percentage of total population),Kuala Lumpur,20.7
458,Malaysia,2010,Capital city population (as a percentage of total urban population),Kuala Lumpur,29.1
458,Malaysia,2015,Urban population (percent),,74.2
458,Malaysia,2015,Urban population (percent growth rate per annum),,2.7
458,Malaysia,2015,Rural population (percent growth rate per annum),,-0.6
458,Malaysia,2015,Capital city population (thousands),Kuala Lumpur,6851.0
458,Malaysia,2015,Capital city population (as a percentage of total population),Kuala Lumpur,22.3
458,Malaysia,2015,Capital city population (as a percentage of total urban population),Kuala Lumpur,30.0
458,Malaysia,2018,Urban population (percent),,76.0
458,Malaysia,2018,Capital city population (thousands),Kuala Lumpur,7564.0
462,Maldives,2005,Urban population (percent),,33.8
462,Maldives,2005,Urban population (percent growth rate per annum),,6.5
462,Maldives,2005,Rural population (percent growth rate per annum),,0.8
462,Maldives,2010,Urban population (percent),,36.4
462,Maldives,2010,Urban population (percent growth rate per annum),,4.2
462,Maldives,2010,Rural population (percent growth rate per annum),,1.9
462,Maldives,2015,Urban population (percent),,38.5
462,Maldives,2015,Urban population (percent growth rate per annum),,3.9
462,Maldives,2015,Rural population (percent growth rate per annum),,2.1
462,Maldives,2018,Urban population (percent),,39.8
462,Maldives,2018,Capital city population (thousands),Male,177.0
466,Mali,2005,Urban population (percent),,32.1
466,Mali,2005,Urban population (percent growth rate per annum),,5.5
466,Mali,2005,Rural population (percent growth rate per annum),,2.0
466,Mali,2005,Capital city population (thousands),Bamako,1486.0
466,Mali,2005,Capital city population (as a percentage of total population),Bamako,11.6
466,Mali,2005,Capital city population (as a percentage of total urban population),Bamako,36.2
466,Mali,2010,Urban population (percent),,36.0
466,Mali,2010,Urban population (percent growth rate per annum),,5.6
466,Mali,2010,Rural population (percent growth rate per annum),,2.1
466,Mali,2010,Capital city population (thousands),Bamako,1886.0
466,Mali,2010,Capital city population (as a percentage of total population),Bamako,12.5
466,Mali,2010,Capital city population (as a percentage of total urban population),Bamako,34.7
466,Mali,2015,Urban population (percent),,40.0
466,Mali,2015,Urban population (percent growth rate per annum),,5.0
466,Mali,2015,Rural population (percent growth rate per annum),,1.7
466,Mali,2015,Capital city population (thousands),Bamako,2219.0
466,Mali,2015,Capital city population (as a percentage of total population),Bamako,12.7
466,Mali,2015,Capital city population (as a percentage of total urban population),Bamako,31.8
466,Mali,2018,Urban population (percent),,42.4
466,Mali,2018,Capital city population (thousands),Bamako,2447.0
470,Malta,2005,Urban population (percent),,93.6
470,Malta,2005,Urban population (percent growth rate per annum),,0.8
470,Malta,2005,Rural population (percent growth rate per annum),,-3.2
470,Malta,2010,Urban population (percent),,94.1
470,Malta,2010,Urban population (percent growth rate per annum),,0.5
470,Malta,2010,Rural population (percent growth rate per annum),,-0.9
470,Malta,2015,Urban population (percent),,94.4
470,Malta,2015,Urban population (percent growth rate per annum),,0.6
470,Malta,2015,Rural population (percent growth rate per annum),,-0.6
470,Malta,2018,Urban population (percent),,94.6
470,Malta,2018,Capital city population (thousands),Valletta,213.0
584,Marshall Islands,2005,Urban population (percent),,71.1
584,Marshall Islands,2005,Urban population (percent growth rate per annum),,0.7
584,Marshall Islands,2005,Rural population (percent growth rate per annum),,-1.7
584,Marshall Islands,2010,Urban population (percent),,73.6
584,Marshall Islands,2010,Urban population (percent growth rate per annum),,0.8
584,Marshall Islands,2010,Rural population (percent growth rate per annum),,-1.6
584,Marshall Islands,2015,Urban population (percent),,75.8
584,Marshall Islands,2015,Urban population (percent growth rate per annum),,0.8
584,Marshall Islands,2015,Rural population (percent growth rate per annum),,-1.6
584,Marshall Islands,2018,Urban population (percent),,77.0
584,Marshall Islands,2018,Capital city population (thousands),Majuro,31.0
474,Martinique,2005,Urban population (percent),,89.3
474,Martinique,2005,Urban population (percent growth rate per annum),,0.4
474,Martinique,2005,Rural population (percent growth rate per annum),,1.2
474,Martinique,2010,Urban population (percent),,89.1
474,Martinique,2010,Urban population (percent growth rate per annum),,-0.2
474,Martinique,2010,Rural population (percent growth rate per annum),,0.4
474,Martinique,2015,Urban population (percent),,89.0
474,Martinique,2015,Urban population (percent growth rate per annum),,-0.5
474,Martinique,2015,Rural population (percent growth rate per annum),,-0.3
474,Martinique,2018,Urban population (percent),,89.0
474,Martinique,2018,Capital city population (thousands),Fort-de-France,79.0
478,Mauritania,2005,Urban population (percent),,42.1
478,Mauritania,2005,Urban population (percent growth rate per annum),,4.9
478,Mauritania,2005,Rural population (percent growth rate per annum),,1.5
478,Mauritania,2005,Capital city population (thousands),Nouakchott,684.0
478,Mauritania,2005,Capital city population (as a percentage of total population),Nouakchott,21.8
478,Mauritania,2005,Capital city population (as a percentage of total urban population),Nouakchott,51.9
478,Mauritania,2010,Urban population (percent),,46.6
478,Mauritania,2010,Urban population (percent growth rate per annum),,4.9
478,Mauritania,2010,Rural population (percent growth rate per annum),,1.2
478,Mauritania,2010,Capital city population (thousands),Nouakchott,851.0
478,Mauritania,2010,Capital city population (as a percentage of total population),Nouakchott,23.6
478,Mauritania,2010,Capital city population (as a percentage of total urban population),Nouakchott,50.6
478,Mauritania,2015,Urban population (percent),,51.1
478,Mauritania,2015,Urban population (percent growth rate per annum),,4.8
478,Mauritania,2015,Rural population (percent growth rate per annum),,1.2
478,Mauritania,2015,Capital city population (thousands),Nouakchott,1058.0
478,Mauritania,2015,Capital city population (as a percentage of total population),Nouakchott,25.3
478,Mauritania,2015,Capital city population (as a percentage of total urban population),Nouakchott,49.5
478,Mauritania,2018,Urban population (percent),,53.7
478,Mauritania,2018,Capital city population (thousands),Nouakchott,1205.0
480,Mauritius,2005,Urban population (percent),,42.1
480,Mauritius,2005,Urban population (percent growth rate per annum),,0.3
480,Mauritius,2005,Rural population (percent growth rate per annum),,0.8
480,Mauritius,2010,Urban population (percent),,41.6
480,Mauritius,2010,Urban population (percent growth rate per annum),,0.2
480,Mauritius,2010,Rural population (percent growth rate per annum),,0.6
480,Mauritius,2015,Urban population (percent),,41.0
480,Mauritius,2015,Urban population (percent growth rate per annum),,-0.1
480,Mauritius,2015,Rural population (percent growth rate per annum),,0.4
480,Mauritius,2018,Urban population (percent),,40.8
480,Mauritius,2018,Capital city population (thousands),Port Louis,149.0
175,Mayotte,2005,Urban population (percent),,50.2
175,Mayotte,2005,Urban population (percent growth rate per annum),,4.4
175,Mayotte,2005,Rural population (percent growth rate per annum),,2.4
175,Mayotte,2010,Urban population (percent),,49.0
175,Mayotte,2010,Urban population (percent growth rate per annum),,2.7
175,Mayotte,2010,Rural population (percent growth rate per annum),,3.7
175,Mayotte,2015,Urban population (percent),,47.0
175,Mayotte,2015,Urban population (percent growth rate per annum),,2.0
175,Mayotte,2015,Rural population (percent growth rate per annum),,3.6
175,Mayotte,2018,Urban population (percent),,46.1
175,Mayotte,2018,Capital city population (thousands),Mamoudzou,6.0
484,Mexico,2005,Urban population (percent),,76.3
484,Mexico,2005,Urban population (percent growth rate per annum),,1.7
484,Mexico,2005,Rural population (percent growth rate per annum),,0.0
484,Mexico,2005,Capital city population (thousands),Mexico City,19276.0
484,Mexico,2005,Capital city population (as a percentage of total population),Mexico City,17.8
484,Mexico,2005,Capital city population (as a percentage of total urban population),Mexico City,23.3
484,Mexico,2010,Urban population (percent),,77.8
484,Mexico,2010,Urban population (percent growth rate per annum),,2.0
484,Mexico,2010,Rural population (percent growth rate per annum),,0.3
484,Mexico,2010,Capital city population (thousands),Mexico City,20137.0
484,Mexico,2010,Capital city population (as a percentage of total population),Mexico City,17.2
484,Mexico,2010,Capital city population (as a percentage of total urban population),Mexico City,22.1
484,Mexico,2015,Urban population (percent),,79.3
484,Mexico,2015,Urban population (percent growth rate per annum),,1.8
484,Mexico,2015,Rural population (percent growth rate per annum),,0.0
484,Mexico,2015,Capital city population (thousands),Mexico City,21340.0
484,Mexico,2015,Capital city population (as a percentage of total population),Mexico City,17.0
484,Mexico,2015,Capital city population (as a percentage of total urban population),Mexico City,21.4
484,Mexico,2018,Urban population (percent),,80.2
484,Mexico,2018,Capital city population (thousands),Mexico City,21581.0
583,Micronesia (Fed. States of),2005,Urban population (percent),,22.3
583,Micronesia (Fed. States of),2005,Urban population (percent growth rate per annum),,-0.2
583,Micronesia (Fed. States of),2005,Rural population (percent growth rate per annum),,-0.2
583,Micronesia (Fed. States of),2010,Urban population (percent),,22.3
583,Micronesia (Fed. States of),2010,Urban population (percent growth rate per annum),,-0.5
583,Micronesia (Fed. States of),2010,Rural population (percent growth rate per annum),,-0.5
583,Micronesia (Fed. States of),2015,Urban population (percent),,22.5
583,Micronesia (Fed. States of),2015,Urban population (percent growth rate per annum),,0.3
583,Micronesia (Fed. States of),2015,Rural population (percent growth rate per annum),,0.1
583,Micronesia (Fed. States of),2018,Urban population (percent),,22.7
583,Micronesia (Fed. States of),2018,Capital city population (thousands),Palikir,7.0
492,Monaco,2005,Urban population (percent),,100.0
492,Monaco,2005,Urban population (percent growth rate per annum),,1.0
492,Monaco,2005,Rural population (percent growth rate per annum),,0.0
492,Monaco,2010,Urban population (percent),,100.0
492,Monaco,2010,Urban population (percent growth rate per annum),,1.9
492,Monaco,2010,Rural population (percent growth rate per annum),,0.0
492,Monaco,2015,Urban population (percent),,100.0
492,Monaco,2015,Urban population (percent growth rate per annum),,0.6
492,Monaco,2015,Rural population (percent growth rate per annum),,0.0
492,Monaco,2018,Urban population (percent),,100.0
492,Monaco,2018,Capital city population (thousands),Monaco,39.0
496,Mongolia,2005,Urban population (percent),,62.5
496,Mongolia,2005,Urban population (percent growth rate per annum),,2.8
496,Mongolia,2005,Rural population (percent growth rate per annum),,-1.6
496,Mongolia,2005,Capital city population (thousands),Ulaanbaatar,933.0
496,Mongolia,2005,Capital city population (as a percentage of total population),Ulaanbaatar,36.9
496,Mongolia,2005,Capital city population (as a percentage of total urban population),Ulaanbaatar,59.1
496,Mongolia,2010,Urban population (percent),,67.6
496,Mongolia,2010,Urban population (percent growth rate per annum),,3.0
496,Mongolia,2010,Rural population (percent growth rate per annum),,-1.5
496,Mongolia,2010,Capital city population (thousands),Ulaanbaatar,1138.0
496,Mongolia,2010,Capital city population (as a percentage of total population),Ulaanbaatar,41.9
496,Mongolia,2010,Capital city population (as a percentage of total urban population),Ulaanbaatar,62.1
496,Mongolia,2015,Urban population (percent),,68.2
496,Mongolia,2015,Urban population (percent growth rate per annum),,2.1
496,Mongolia,2015,Rural population (percent growth rate per annum),,1.4
496,Mongolia,2015,Capital city population (thousands),Ulaanbaatar,1365.0
496,Mongolia,2015,Capital city population (as a percentage of total population),Ulaanbaatar,45.8
496,Mongolia,2015,Capital city population (as a percentage of total urban population),Ulaanbaatar,67.2
496,Mongolia,2018,Urban population (percent),,68.4
496,Mongolia,2018,Capital city population (thousands),Ulaanbaatar,1520.0
499,Montenegro,2005,Urban population (percent),,62.5
499,Montenegro,2005,Urban population (percent growth rate per annum),,1.4
499,Montenegro,2005,Rural population (percent growth rate per annum),,-1.9
499,Montenegro,2010,Urban population (percent),,64.1
499,Montenegro,2010,Urban population (percent growth rate per annum),,0.8
499,Montenegro,2010,Rural population (percent growth rate per annum),,-0.7
499,Montenegro,2015,Urban population (percent),,65.8
499,Montenegro,2015,Urban population (percent growth rate per annum),,0.6
499,Montenegro,2015,Rural population (percent growth rate per annum),,-0.8
499,Montenegro,2018,Urban population (percent),,66.8
499,Montenegro,2018,Capital city population (thousands),Podgorica,177.0
500,Montserrat,2005,Urban population (percent),,9.3
500,Montserrat,2005,Urban population (percent growth rate per annum),,29.3
500,Montserrat,2005,Rural population (percent growth rate per annum),,-2.3
500,Montserrat,2010,Urban population (percent),,9.2
500,Montserrat,2010,Urban population (percent growth rate per annum),,0.3
500,Montserrat,2010,Rural population (percent growth rate per annum),,0.7
500,Montserrat,2015,Urban population (percent),,9.0
500,Montserrat,2015,Urban population (percent growth rate per annum),,0.5
500,Montserrat,2015,Rural population (percent growth rate per annum),,0.7
500,Montserrat,2018,Urban population (percent),,9.1
500,Montserrat,2018,Capital city population (thousands),Brades Estate,0.0
